nature_language,code_token
 bug support addit messag insert key declar error warn it good abl insert enclos class enclos member joinpoint,error equals checker parameterize compare thrown match curly to implement on concrete value format code message aspect concretize hash with specialize check exceptions 
 bug ajc option chang xlint level messag xlintfil the xlintfil option great fit control messag multipl build project specif case pluginmanag section maven parent pom the problem need local file configur messag output level ignor warn error want specifi build script share file as altern xlintfil handi abl chang xlint warn level messag command line option for exampl ajc xlint advicedidnotmatch ignor overrid xlintdefault properti file advicedidnotmatch messag with regard rob,error joinpoints not refs xnot make information show has level way in files aj inpath configured reweavable tjp terminate lint project string xserializable target full after mode config javadocs roots proceed member support serial on join source behave code info add globals jars outxml annotation emacs id ver binary cross accept xno elements timing destination bootclasspath xlazy compilation modified weaving xml manager processing name classpath no hash build encoding sym jar with contents path incremental java dir reflectable enabled inline result equals install set xconfiguration output file changed runtime aspect xdev version resources pinpoint at options aspects aspectj spec check aspectpath sources generate model 
 bug ajc option chang xlint level messag xlintfil the xlintfil option great fit control messag multipl build project specif case pluginmanag section maven parent pom the problem need local file configur messag output level ignor warn error want specifi build script share file as altern xlintfil handi abl chang xlint warn level messag command line option for exampl ajc xlint advicedidnotmatch ignor overrid xlintdefault properti file advicedidnotmatch messag with regard rob,error open enable format perform listener aj for lint copy write string full custom factory config bcel settings compiler proceed weaver on hierarchy problem source close add outxml entry binary weave accept environment destination batch library manifest formatter requestor interim extract adapter compilation access structure init manager populate name classpath dirs build stream jar munger class contents path incremental zip resource builder result rt asm supports to from setup this set state output file runtime aspect world version resources contex cleanup options units directory aspects check sources progress generate model 
 bug ajc option chang xlint level messag xlintfil the xlintfil option great fit control messag multipl build project specif case pluginmanag section maven parent pom the problem need local file configur messag output level ignor warn error want specifi build script share file as altern xlintfil handi abl chang xlint warn level messag command line option for exampl ajc xlint advicedidnotmatch ignor overrid xlintdefault properti file advicedidnotmatch messag with regard rob,properties key enabled signal kind from set suppressed message default name kinds supressed suppress load lint suppressions all clear 
 bug ajc option chang xlint level messag xlintfil the xlintfil option great fit control messag multipl build project specif case pluginmanag section maven parent pom the problem need local file configur messag output level ignor warn error want specifi build script share file as altern xlintfil handi abl chang xlint warn level messag command line option for exampl ajc xlint advicedidnotmatch ignor overrid xlintdefault properti file advicedidnotmatch messag with regard rob,execute compile extdirs classes set outjar message base outxmlfile add classpath expected test files args build options inpath sourceroots spec xlintfile aspectpath include dir 
 bug ltw work jmx enabl when enabl jmx remot manag jvm aspectj load time weav ltw aspect appear woven thi jvm argument dvisualvm display jdbctimingaspecttest dcom sun manag jmxremot ssl fals dcom sun manag jmxremot authent fals dcom sun manag jmxremot port javaag jar aspectjweav jar dorg aspectj weaver loadtim configur com trgr cobalt infrastructur instrument aspect time jdbc jdbcmonitor xml note enabl jmx remot manag remov dcom sun manag jmxremot jvm argument aspect work fine,flush key active adaptor initialize checkq remove namespace equals pre container generated classes weaving weaver stale exist loader code count process hash explicitly initialized aj class check adaptors 
 bug configur set classload weaver creat ltw scenario prototyp test jspclassload thread aspectj jsp load mail list that properti easier aop xml howev time aop xml set affect global oper loadtim weav when classload actual got far load aop xml discov set point set in jspclassload case mean non jspclassload run earli discov set turn jspclassload jspclassload discov set turn jspclassload think live mode oper,flush key active adaptor initialize checkq remove namespace equals pre container generated classes weaving weaver stale exist loader code count process hash explicitly initialized aj class check adaptors 
 bug configur set classload weaver creat ltw scenario prototyp test jspclassload thread aspectj jsp load mail list that properti easier aop xml howev time aop xml set affect global oper loadtim weav when classload actual got far load aop xml discov set point set in jspclassload case mean non jspclassload run earli discov set turn jspclassload jspclassload discov set turn jspclassload think live mode oper,handler exclude flush ends dump adaptor initialize namespace names classes dot weaving star define exist starts like loader looks space aspect parse register simple name id annotation plus exact concete with options weave class aspects for and lint accept definitions include context generated dir 
 bug configur set classload weaver creat ltw scenario prototyp test jspclassload thread aspectj jsp load mail list that properti easier aop xml howev time aop xml set affect global oper loadtim weav when classload actual got far load aop xml discov set point set in jspclassload case mean non jspclassload run earli discov set turn jspclassload jspclassload discov set turn jspclassload think live mode oper,option weaver options parse 
 bug stack trace print want mute in org aspectj ajdt intern core builder ajstat getdeleg referencetyp printstacktrac on ajdt build server except print caus nois can replac imessagehandl build,change of added knowledge that around types results queue in files soft listener aj for but if write string clear dependents full map config initialize remove bcel create differ refer weaver record note delete source requiring decision unwoven dependencies add maybe structural round entry binary changes clauses unit accept be could environment whether batch last been wipe key successful compile have size names compilation modified structure present ns previous manager were exception next name classpath process prepare hash defined any build needs resulting class and reference deleted path incremental system dir resource result type new we increment to subsequent from set this requires state output stringify file force changed since aspect time world delegate locations number known location equal modifiers affected check model all 
